tv,name,sector,industry,mcap_b,summary
NYSE:PM,Philip Morris International Inc,Consumer Defensive,Tobacco,287.2,"Philip Morris International Inc. operates as a tobacco company. The company offers cigarettes and smoke-free products, including heat-not-burn, e-vapor, and oral nicotine products under the IQOS, VEEV, and ZYN brands; and consumer accessories, such as lighters and matches. It also offers wellness products. The company was incorporated in 1987 and is headquartered in Stamford, Connecticut."
NYSE:PNC,"PNC Financial Services Group, I",Financial Services,Banks - Regional,96.3,"The PNC Financial Services Group, Inc. operates as a diversified financial services company in the United States. It operates through three segments: Retail Banking, Corporate & Institutional Banking, and Asset Management Group segments. The Retail Banking segment offers checking, savings, and money market accounts, and time deposit; residential mortgages, home equity loans and lines of credit, au"
NYSE:PNFP,"Pinnacle Financial Partners, In",Financial Services,Banks - Regional,15.0,"Pinnacle Financial Partners, Inc. operates as the bank holding company for Pinnacle Bank that provides various banking products and services to individuals, businesses, and professional entities in the United States. It accepts various deposits, including savings, noninterest-bearing and interest-bearing checking, money market, and certificate of deposit accounts; and provides treasury management "
NYSE:PNW,Pinnacle West Capital Corporati,Utilities,Utilities - Regulated Electric,11.7,"Pinnacle West Capital Corporation, through its subsidiary, provides retail and wholesale electric services in the state of Arizona. The company engages in the generation, transmission, and distribution of electricity using nuclear, gas, oil, coal, and solar generating facilities. Its transmission facilities include overhead lines and underground lines; and distribution facilities consist of overhe"
NASDAQ:PODD,Insulet Corporation,Healthcare,Medical Devices,9.7,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes in the United States and internationally. The company offers Omnipod platform products comprising Omnipod 5 automated insulin delivery system, which includes a proprietary AID algorithm embedded in the pod that integrates with a third-party continuous glucose monitor to obtain "
TSX:POW,"POWER CORPORATION OF CANADA, SV",Financial Services,Insurance - Life,57.9,"Power Corporation of Canada, an international management and holding company, provides financial services in North America, Europe, and Asia. The company operates through Lifeco, IGM Financial, and GBL segments. It offers life, health and dental, disability, critical illness, and creditor insurance, as well as reinsurance products; retirement and wealth management solutions, including annuities an"
NYSE:PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,24.0,"PPG Industries, Inc. manufactures and distributes paints, coatings, and specialty materials in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa. It operates through three segments: Global Architectural Coatings, Performance Coatings, and Industrial Coatings. The Global Architectural Coatings segment supplies a variety of decorative coatings, adhesives"
NYSE:PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,26.0,"PPL Corporation provides electricity and natural gas to approximately 3.6 million customers in the United States. It operates in three segments: Kentucky Regulated, Pennsylvania Regulated, and Rhode Island Regulated. The company engages in the transmission and distribution of electricity in eastern and central Pennsylvania; generation, transmission, distribution, and sale of electricity in Kentuck"
TSX:PPL,PEMBINA PIPELINE CORPORATION,Energy,Oil & Gas Midstream,39.5,"Pembina Pipeline Corporation provides energy transportation and midstream services. It operates through three segments: Pipelines, Facilities, and Marketing & New Ventures. The Pipelines segment operates conventional, oil sands and heavy oil, and transmission assets with a transportation capacity of 3.0 million of barrels of oil equivalent per day, and the ground storage capacity of 10 million of "
NYSE:PR,Permian Resources Corporation,Energy,Oil & Gas E&P,19.8,"Permian Resources Corporation, an independent oil and natural gas company, focuses on the development of crude oil and associated liquids-rich natural gas reserves in the United States. The company's assets primarily focus on the Delaware Basin, a sub-basin of the Permian Basin. Its properties consist of acreage blocks in Reeves County in West Texas and Lea County in New Mexico. The company was fo"
NYSE:PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,40.7,"Prudential Financial, Inc., together with its subsidiaries, provides financial products and services in the United States, Japan and internationally. It operates through PGIM, Retirement Strategies, Group Insurance, Individual Life, and International Businesses segments. The PGIM segment offers investment management services and solutions related to public fixed income, public equity, real estate "
NYSE:PSA,Public Storage,Real Estate,REIT - Industrial,55.3,"Public Storage, a member of the S&P 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2026, The firm: (i) owned and/or operated 3,584 self-storage facilities located in 40 states with approximately 259 million net rentable square feet in the United States and (ii) owned a 35% common equity interest in Shurgard Self Storage Limited (Euronext B"
NYSE:PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,104.4,"Phillips 66 operates as an integrated downstream energy provider in the United States, the United Kingdom, Germany, and internationally. It operates through five segments: Midstream, Chemicals, Refining, Marketing and Specialties (M&S), and Renewable Fuels. The Midstream segment provides crude oil and refined petroleum product transportation, terminaling, and storage services, as well as natural g"
NASDAQ:PTC,PTC Inc.,Technology,Software - Application,14.1,"PTC Inc. operates as software company in the Americas, Europe, and the Asia Pacific. The company provides Windchill, a suite that manages all aspects of the product development lifecycle(PLM) that provides real-time information sharing, dynamic data visualization, collaborate across geographically distributed teams, and enabling manufacturers to elevate product development, manufacturing, field se"
NYSE:PUK,Prudential Public Limited Compa,Financial Services,Insurance - Life,33.6,"Prudential plc, through its subsidiaries, provides life and health insurance, and asset management solutions to individuals in Asia and Africa. It offers savings and investments products; and wealth, health, and protection products. The company was founded in 1848 and is headquartered in Central, Hong Kong."
